품목별,2003,,품목별,2004,,품목별,2006,,품목별,2007,,품목별,2008,,품목별,2009,,품목별,2011,,품목별,2012,,품목별,2013,,품목별 ,2012,,품목별,2016,,품목별,2017,,품목별,2018,,품목별,2019,,품목별,2021
품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별 ,출하금액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원)
방해석,...,,기타 화학 및 비료 원료용 광물,10464,,천연 자갈,31019,,  공업용 천연모래,64035,,  공업용 천연모래,87263,,  소금(채취한 것),13065,,  공업용 천연모래,103861,,  공업용 천연모래,92444,,납석(채굴),22046,,납석(채굴),28639,,납석(채굴),16889,,납석(채굴),21895,,납석(채굴),14481,,납석(채굴),14200,, 고령토(채굴),   6 977
기타 화학 및 비료 원료용 광물,...,,소금(채취한 것),8149,,공업용 천연모래,31286,,  납석(채굴),16566,,  납석(채굴),13398,,  규석(채굴),7937,,  납석(채굴),23500,,  납석(채굴),23436,,기타 화학 및 비료 원료용 광물(채굴),...,,기타 화학 및 비료 원료용 광물(채굴),...,,기타 화학 및 비료 원료용 광물(채굴),X,,기타 화학 및 비료 원료용 광물(채굴),X,,기타 화학 및 비료 원료용 광물(채굴),X,,기타 화학 및 비료 원료용 광물(채굴),X,, 기타 점토(채굴), X
소금(채취한 것),5944,,규석,24190,,납석,15259,,  기타 화학 및 비료 원료용 광물(채굴),...,,  기타 화학 및 비료 원료용 광물(채굴),...,,  장석(채굴),...,,  소금(채취한 것),5058,,  소금(채취한 것),8111,,소금(채취한 것),16550,,소금(채취한 것),20261,,천일염(채취한 것),20501,,천일염(채취한 것),21473,,천일염(채취한 것),20063,,천일염(채취한 것),22958,, 화강암 원석(파쇄되지 않은 것),   245 490
규석,30646,,장석,9864,,기타 화학 및 비료 원료용 광물,13080,,  소금(채취한 것),5137,,  소금(채취한 것),6846,,  기타 비금속광물,11307,,  규석(채굴),17953,,  규석(채굴),17546,,규석(채굴),16094,,규석(채굴),11331,,규석(채굴),12594,,규석(채굴),24278,,규석(채굴),23802,,규석(채굴),17135,, 석회석 원석(파쇄되지 않은 것),   55 643
장석,8130,,기타 비금속광물,11298,,소금(채취한 것),12485,,  규석(채굴),20837,,  규석(채굴),18576,, 광업 지원 서비스업,...,,  장석(채굴),...,,  장석(채굴),...,,장석(채굴),...,,장석(채굴),10903,,장석(채굴),X,,장석(채굴),X,,장석(채굴),X,,장석(채굴),X,, 건설용 쇄석(석회쇄석 제외),  1 312 663
활석,...,,제조업(15~37),754814445,,규석,34571,,  장석(채굴),7464,,  장석(채굴),...,,  기타 광업 지원 서비스,...,,  기타 비금속광물,17445,,  기타 비금속광물,12521,,기타 비금속광물,16098,,기타 비금속광물,14829,,기타 비금속광물,X,,기타 비금속광물,20385,,기타 비금속광물,11226,,기타 비금속광물,13003,, 건설용 천연모래,   367 928
기타 비금속광물,8154,,음·식료품 제조업,47051300,,장석,7328,,  기타 비금속광물,7392,,  기타 비금속광물,5138,,제조업,1083921476,, 광업 지원 서비스업,...,, 광업 지원 서비스업,...,,광업 지원 서비스업,...,,광업 지원 서비스업,...,,광업 지원 서비스업,X,,광업 지원 서비스업,X,,광업 지원 서비스업,X,,광업 지원 서비스업,X,, 천연 자갈,   128 115
제조업(15~37),644309997,,쇠고기(도축한 것),169258,,기타 비금속광물,9044,, 광업 지원 서비스업,...,, 광업 지원 서비스업,...,, 식료품 제조업,51559644,,  기타 광업 지원 서비스,...,,  기타 광업 지원 서비스,...,,기타 광업 지원 서비스,...,,기타 광업 지원 서비스,...,,기타 광업 지원 서비스,X,,기타 광업 지원 서비스,X,,기타 광업 지원 서비스,X,,기타 광업 지원 서비스,X,, 공업용 천연모래,   78 027
음·식료품 제조업,42812050,,돼지고기(도축한 것),1072478,,제조업(15~37),873963742,,  기타 광업 지원 서비스,...,,  기타 광업 지원 서비스,...,,  쇠고기(도축),283423,,제조업,1449925863,,제조업,1467149295,,제조업,1448937062,,제조업,1441014853,,제 조 업(10~34),1367080394,,제 조 업(10~34),1465087155,,제 조 업(10~34),1517922862,,제 조 업(10~34),1491723515,, 납석(채굴),   15 458
쇠고기(도축한 것),135721,,기타 도축고기,2919,,음·식료품 제조업,48218708,,제조업(10~33),911726382,,제조업(10~33),1078749550,,  돼지고기(도축),1221849,, 식료품 제조업,60057499,, 식료품 제조업,63876583,,식료품 제조업,65802784,,식료품 제조업,67591544,,식료품 제조업,73680845,,식료품 제조업,76251120,,식료품 제조업,77953427,,식료품 제조업,81991225,, 천일염(채취한 것),   34 386
