"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10403102,"  옥수수기름",2009,7.0000,100603.0000,99572.0000,6018.0000
'00,"전  국",'C10403103,"  올리브유",2009,4.0000,40597.0000,32896.0000,10137.0000
'00,"전  국",'C10403104,"  마아가린",2009,4.0000,95231.0000,95247.0000,2769.0000
'00,"전  국",'C10403105,"  쇼트닝",2009,5.0000,106574.0000,106230.0000,2770.0000
'00,"전  국",'C10403109,"  기타 식물성 정제유 및 가공유",2009,13.0000,107392.0000,107667.0000,4581.0000
'00,"전  국",'C10501101,"  시유",2009,40.0000,2546966.0000,2544695.0000,17278.0000
'00,"전  국",'C10501102,"  연유",2009,6.0000,35104.0000,35024.0000,558.0000
'00,"전  국",'C10501103,"  조제분유(우유기저)",2009,1.0000,...,...,...
'00,"전  국",'C10501104,"  분유",2009,17.0000,389962.0000,395085.0000,31631.0000
'00,"전  국",'C10501105,"  발효유",2009,43.0000,1471013.0000,1468695.0000,8773.0000
'00,"전  국",'C10501106,"  버터",2009,8.0000,19887.0000,19837.0000,773.0000
'00,"전  국",'C10501107,"  치즈",2009,21.0000,341526.0000,344943.0000,7158.0000
'00,"전  국",'C10501109,"  기타 낙농제품",2009,17.0000,92147.0000,92429.0000,3590.0000
'00,"전  국",'C10502101,"  아이스크림",2009,35.0000,1024025.0000,1023978.0000,37786.0000
'00,"전  국",'C10502102,"  빙과",2009,23.0000,399730.0000,400036.0000,11993.0000
'00,"전  국",'C10611101,"  쌀(도정한 것)",2009,114.0000,1646087.0000,1647391.0000,13479.0000
'00,"전  국",'C10611102,"  보리쌀(도정한 것)",2009,9.0000,70872.0000,70965.0000,1281.0000
'00,"전  국",'C10611109,"  기타 도정 곡물",2009,8.0000,37873.0000,38447.0000,2299.0000
'00,"전  국",'C10611900,"  도정 부산물",2009,21.0000,9751.0000,9787.0000,20.0000
'00,"전  국",'C10612101,"  밀가루",2009,17.0000,1325368.0000,1330234.0000,32709.0000
'00,"전  국",'C10612102,"  콩가루",2009,6.0000,3479.0000,3486.0000,363.0000
'00,"전  국",'C10612103,"  옥수수가루",2009,8.0000,17259.0000,18081.0000,1202.0000
'00,"전  국",'C10612109,"  기타 곡물가루",2009,46.0000,109463.0000,107327.0000,15979.0000
'00,"전  국",'C10612901,"  소맥피",2009,2.0000,...,...,...
'00,"전  국",'C10612902,"  제분 부산물",2009,1.0000,...,...,...
'00,"전  국",'C10613100,"  제과용 혼합분말 및 반죽",2009,57.0000,404956.0000,404281.0000,7919.0000
'00,"전  국",'C10619101,"  선식류",2009,27.0000,109297.0000,109105.0000,7447.0000
'00,"전  국",'C10619102,"  앙금류",2009,12.0000,60289.0000,60137.0000,1810.0000
'00,"전  국",'C10619103,"  씨리얼식품",2009,5.0000,158066.0000,157072.0000,5355.0000
'00,"전  국",'C10619109,"  기타 곡물조제식품",2009,26.0000,50687.0000,50236.0000,1449.0000
'00,"전  국",'C10620101,"  고구마전분",2009,4.0000,10819.0000,10763.0000,2981.0000
'00,"전  국",'C10620102,"  옥수수전분",2009,9.0000,169551.0000,171260.0000,7118.0000
'00,"전  국",'C10620103,"  소맥전분",2009,3.0000,68676.0000,69783.0000,2374.0000
'00,"전  국",'C10620109,"  기타 전분제품",2009,15.0000,70565.0000,71881.0000,991.0000
'00,"전  국",'C10620201,"  포도당",2009,4.0000,43374.0000,43201.0000,1979.0000
'00,"전  국",'C10620202,"  물엿",2009,16.0000,270177.0000,273348.0000,4128.0000
'00,"전  국",'C10620203,"  과당",2009,13.0000,199637.0000,201278.0000,5228.0000
'00,"전  국",'C10620209,"  기타 당류",2009,18.0000,54867.0000,54684.0000,2205.0000
'00,"전  국",'C10711100,"  떡(제조도매)",2009,86.0000,192015.0000,190995.0000,3755.0000
'00,"전  국",'C10711200,"  떡(제조소매)",2009,23.0000,35200.0000,35120.0000,624.0000
'00,"전  국",'C10712101,"  식빵(제조도매)",2009,22.0000,248107.0000,248809.0000,2079.0000
'00,"전  국",'C10712102,"  도넛(제조도매)",2009,17.0000,83170.0000,83196.0000,194.0000
'00,"전  국",'C10712103,"  피자(제조도매)",2009,1.0000,...,...,...
'00,"전  국",'C10712104,"  기타 빵류(제조도매)",2009,94.0000,896958.0000,895414.0000,7466.0000
'00,"전  국",'C10712105,"  케이크(제조도매)",2009,34.0000,234117.0000,234099.0000,751.0000
'00,"전  국",'C10712200,"  빵(제조소매)",2009,27.0000,43370.0000,43300.0000,405.0000
'00,"전  국",'C10713101,"  코코아 분말",2009,5.0000,25684.0000,26428.0000,568.0000
'00,"전  국",'C10713102,"  초콜릿류",2009,44.0000,605326.0000,605048.0000,15328.0000
'00,"전  국",'C10713103,"  캔디류",2009,49.0000,396781.0000,396294.0000,10516.0000
'00,"전  국",'C10713104,"  껌",2009,9.0000,123048.0000,125225.0000,5216.0000
'00,"전  국",'C10713201,"  미과",2009,45.0000,66593.0000,67520.0000,1779.0000
'00,"전  국",'C10713202,"  스낵류",2009,48.0000,961449.0000,965342.0000,7553.0000
'00,"전  국",'C10713203,"  건과자류",2009,32.0000,237627.0000,238437.0000,5433.0000
'00,"전  국",'C10713209,"  기타 곡분과자",2009,28.0000,212893.0000,212610.0000,4037.0000
'00,"전  국",'C10720102,"  정제당",2009,6.0000,1008754.0000,1014120.0000,18534.0000
'00,"전  국",'C10730101,"  국수",2009,51.0000,237918.0000,238257.0000,12098.0000
'00,"전  국",'C10730102,"  당면",2009,11.0000,112213.0000,111358.0000,8637.0000
'00,"전  국",'C10730103,"  냉면",2009,41.0000,59960.0000,60499.0000,3256.0000
'00,"전  국",'C10730109,"  기타 유사국수",2009,18.0000,20731.0000,20661.0000,661.0000
'00,"전  국",'C10730201,"  라면",2009,13.0000,1193592.0000,1193843.0000,7036.0000
'00,"전  국",'C10730209,"  기타 인스턴트면류",2009,10.0000,111618.0000,111183.0000,1645.0000
'00,"전  국",'C10741101,"  글루타민소다",2009,1.0000,...,...,...
'00,"전  국",'C10741102,"  기타 화학조미료",2009,3.0000,46427.0000,51869.0000,1853.0000
'00,"전  국",'C10741103,"  식초",2009,14.0000,67241.0000,67191.0000,1383.0000
'00,"전  국",'C10741104,"  맛소금",2009,3.0000,12652.0000,12781.0000,258.0000
'00,"전  국",'C10742101,"  고추가루",2009,37.0000,137575.0000,137614.0000,7159.0000
'00,"전  국",'C10742102,"  후추가루",2009,12.0000,19652.0000,19801.0000,819.0000
'00,"전  국",'C10742103,"  혼합 조미료",2009,38.0000,375596.0000,377257.0000,11123.0000
'00,"전  국",'C10742109,"  기타 천연조미료",2009,48.0000,95509.0000,95529.0000,4810.0000
'00,"전  국",'C10742201,"  마요네즈",2009,5.0000,238926.0000,238990.0000,3593.0000
'00,"전  국",'C10742202,"  케찹",2009,5.0000,133059.0000,133233.0000,3011.0000
'00,"전  국",'C10742203,"  카레",2009,4.0000,18574.0000,18711.0000,477.0000
'00,"전  국",'C10742209,"  기타 혼합조제조미료",2009,133.0000,742341.0000,740088.0000,23878.0000
'00,"전  국",'C10743101,"  간장",2009,48.0000,305030.0000,306359.0000,13980.0000
'00,"전  국",'C10743102,"  된장",2009,60.0000,169767.0000,170157.0000,6133.0000
'00,"전  국",'C10743103,"  고추장",2009,57.0000,304511.0000,305452.0000,8010.0000
'00,"전  국",'C10743104,"  춘장",2009,14.0000,40049.0000,39943.0000,1300.0000
'00,"전  국",'C10743105,"  메주",2009,19.0000,4113.0000,4183.0000,695.0000
'00,"전  국",'C10743109,"  기타 장류",2009,51.0000,95316.0000,95004.0000,2091.0000
'00,"전  국",'C10749101,"  커피 크리머",2009,11.0000,200810.0000,203140.0000,6573.0000
'00,"전  국",'C10749102,"  효모",2009,12.0000,67755.0000,67240.0000,5712.0000
'00,"전  국",'C10749103,"  가라기난",2009,2.0000,...,...,...
'00,"전  국",'C10749105,"  식품용 색소",2009,7.0000,16664.0000,15714.0000,2119.0000
