품목별,값1,값2,값3
금속제 조립식 건축물,375595,395022,450884
금속제 조립식 건축물용 판넬,1899044,1793251,1613115
금속제 진열장 및 라커,327333,313393,270034
금속제 창문,1200364,1091139,1181185
금속제 칸막이,137749,124058,117768
금속제 캐비닛,214904,214625,191696
금속제 파킹 및 가스켓,194586,175198,202805
금속표면처리용 화합물,847288,1146969,1297373
금속표시판,295484,256804,293593
금전등록기,113432,163733,144523
급유 및 계기용 펌프,133037,163292,206904
기간통신사업용 교환기,21362,24032,41689
기계 프레스,752460,555031,513146
기계식 동력전달장치 부품,120714,112887,152348
기계용 내연기관,911889,1005766,1034194
기기용 앰프셋트,179064,202032,94360
기념석,18778,20426,20410
기압식 기체펌프 및 압축기,138778,85881,111239
기어 및 기어링,601244,577451,612552
기어절삭기,11292,10853,9708
기억장치 부품,27492,26813,24744
기중기차특장,189758,194353,277808
기체 여과기 및 청정기 부품,577366,568077,666198
기체 펌프 및 압축기 부품,97574,100670,105416
기초공사기계,44442,45471,38223
기타  가정용 난방기기,39824,75656,85532
기타 1차 유리제품,5389,34418,19165
기타 LCD,7095791,4688172,3607728
기타 TV,59893,33860,50276
기타 TV송수신기,X,X,X
기타 가공지,180256,150656,120483
기타 가공차,184296,303641,208244
기타 가금고기 부산물,27319,85514,41145
기타 가금류 가공품,434695,542337,615027
기타 가금류고기,X,X,
기타 가방,55401,41370,53511
기타 가변저항기,X,X,X
기타 가성소다,351902,344380,381277
기타 가정용 금속가구,169466,172028,122921
기타 가정용 목제가구,113146,104938,150841
기타 가정용 전기기기,119406,141867,173279
기타 가정용 전기기기 부품,1114608,1156156,1103176
기타 가정용 전기식 난방기기,44855,44832,47137
기타 강관,320310,314348,131966
기타 개폐 및 보호관련 기기,174182,168921,186545
기타 건강기능식품,975798,1231005,1712370
기타 건강보조용 액화식품,59005,86211,139234
기타 건설용 기계,88519,103310,99427
기타 건설용 트랙터,X,X,X
기타 건축용 비내화 요업제품,X,X,X
기타 건축용 플라스틱 조립제품,756973,718987,617043
기타 검 및 나무화합물,71358,89410,98265
기타 경지정리용 기계,128388,133739,118546
기타 계산 관련기기,11210,12718,37448
