"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상, 2012년)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10730103,"  냉면",2012,41.0000,81724.0000,81955.0000,2458.0000
'00,"전  국",'C10730109,"  기타 유사국수",2012,18.0000,59348.0000,59407.0000,2805.0000
'00,"전  국",'C10730201,"  라면",2012,15.0000,1688174.0000,1689874.0000,11551.0000
'00,"전  국",'C10730209,"  기타 인스턴트면류",2012,8.0000,105557.0000,104898.0000,1794.0000
'00,"전  국",'C10741102,"  기타 화학조미료",2012,5.0000,135857.0000,132738.0000,5204.0000
'00,"전  국",'C10741103,"  식초",2012,14.0000,172351.0000,172033.0000,3946.0000
'00,"전  국",'C10741104,"  맛소금",2012,3.0000,15669.0000,14975.0000,927.0000
'00,"전  국",'C10742101,"  고추가루",2012,38.0000,229879.0000,219087.0000,27477.0000
'00,"전  국",'C10742102,"  후추가루",2012,12.0000,27506.0000,27230.0000,1486.0000
'00,"전  국",'C10742103,"  혼합 조미료",2012,54.0000,776052.0000,775860.0000,18256.0000
'00,"전  국",'C10742109,"  기타 천연조미료",2012,42.0000,120399.0000,119923.0000,4904.0000
'00,"전  국",'C10742201,"  마요네즈",2012,6.0000,277524.0000,273318.0000,11526.0000
'00,"전  국",'C10742202,"  케찹",2012,5.0000,65332.0000,62492.0000,4459.0000
'00,"전  국",'C10742203,"  카레",2012,6.0000,70076.0000,68131.0000,4507.0000
'00,"전  국",'C10742209,"  기타 혼합조제조미료",2012,135.0000,834329.0000,830051.0000,38065.0000
'00,"전  국",'C10743101,"  간장",2012,50.0000,348649.0000,348970.0000,33525.0000
'00,"전  국",'C10743102,"  된장",2012,58.0000,145184.0000,145980.0000,6370.0000
'00,"전  국",'C10743103,"  고추장",2012,56.0000,277417.0000,276390.0000,11629.0000
'00,"전  국",'C10743104,"  춘장",2012,11.0000,24879.0000,24986.0000,329.0000
'00,"전  국",'C10743105,"  메주",2012,8.0000,5739.0000,5604.0000,1005.0000
'00,"전  국",'C10743106,"  혼합장",2012,13.0000,45761.0000,45642.0000,753.0000
'00,"전  국",'C10743109,"  기타 장류",2012,38.0000,71954.0000,71409.0000,3163.0000
'00,"전  국",'C10749101,"  커피 크리머",2012,11.0000,190194.0000,189481.0000,11769.0000
'00,"전  국",'C10749102,"  효모",2012,13.0000,57630.0000,58363.0000,1909.0000
'00,"전  국",'C10749103,"  가라기난",2012,2.0000,...,...,...
'00,"전  국",'C10749105,"  식품용 색소",2012,7.0000,43521.0000,43539.0000,1129.0000
'00,"전  국",'C10749109,"  기타 식품첨가물",2012,56.0000,308712.0000,306493.0000,23328.0000
'00,"전  국",'C10791101,"  원두커피",2012,20.0000,145685.0000,144890.0000,2323.0000
'00,"전  국",'C10791102,"  인스턴트 커피",2012,11.0000,321933.0000,318605.0000,18483.0000
'00,"전  국",'C10791103,"  커피믹스",2012,20.0000,607292.0000,609954.0000,14629.0000
'00,"전  국",'C10792101,"  녹차",2012,27.0000,172169.0000,170679.0000,6770.0000
'00,"전  국",'C10792102,"  홍차",2012,7.0000,36818.0000,37546.0000,168.0000
'00,"전  국",'C10792103,"  치커리차, 보리차 및 옥수수차",2012,11.0000,51832.0000,51758.0000,2180.0000
'00,"전  국",'C10792104,"  율무차",2012,15.0000,56847.0000,57411.0000,3360.0000
'00,"전  국",'C10792105,"  유자차",2012,27.0000,64688.0000,61782.0000,6861.0000
'00,"전  국",'C10792106,"  꿀차",2012,4.0000,43844.0000,44060.0000,4220.0000
'00,"전  국",'C10792109,"  기타 가공차",2012,58.0000,87300.0000,86033.0000,6500.0000
'00,"전  국",'C10793101,"  조제수프",2012,18.0000,37432.0000,36310.0000,2767.0000
'00,"전  국",'C10793102,"  이유식",2012,10.0000,128448.0000,130352.0000,10187.0000
'00,"전  국",'C10793103,"  음료 베이스",2012,8.0000,305138.0000,309561.0000,3445.0000
'00,"전  국",'C10794101,"  두부",2012,75.0000,355456.0000,355450.0000,1715.0000
'00,"전  국",'C10794102,"  유부",2012,8.0000,63060.0000,62771.0000,885.0000
'00,"전  국",'C10794109,"  기타 묵 및 유사제품",2012,19.0000,48551.0000,48197.0000,1330.0000
'00,"전  국",'C10795101,"  백삼",2012,12.0000,22195.0000,20831.0000,6906.0000
'00,"전  국",'C10795102,"  홍삼",2012,36.0000,296849.0000,294226.0000,53061.0000
'00,"전  국",'C10795103,"  인삼분말",2012,9.0000,35418.0000,35033.0000,3629.0000
'00,"전  국",'C10795104,"  인삼즙",2012,43.0000,195573.0000,189974.0000,55028.0000
'00,"전  국",'C10795105,"  인삼차",2012,23.0000,152371.0000,147255.0000,18534.0000
'00,"전  국",'C10795106,"  인삼과자",2012,19.0000,134979.0000,130478.0000,21304.0000
'00,"전  국",'C10795109,"  기타 인삼기저 식품",2012,21.0000,26186.0000,27253.0000,3823.0000
'00,"전  국",'C10796101,"  건강원제품",2012,14.0000,85697.0000,85777.0000,4844.0000
'00,"전  국",'C10796109,"  기타 건강보조용 액화식품",2012,24.0000,45472.0000,43028.0000,10786.0000
'00,"전  국",'C10797101,"  스쿠알렌식품",2012,3.0000,99738.0000,100043.0000,5350.0000
'00,"전  국",'C10797102,"  효소식품",2012,23.0000,127877.0000,126456.0000,8206.0000
'00,"전  국",'C10797103,"  정제어유가공식품",2012,4.0000,65126.0000,65711.0000,1107.0000
'00,"전  국",'C10797104,"  알로에식품",2012,4.0000,53179.0000,50629.0000,3475.0000
'00,"전  국",'C10797109,"  기타 건강기능식품",2012,62.0000,506772.0000,506479.0000,20795.0000
'00,"전  국",'C10798101,"  냉동만두",2012,38.0000,388800.0000,388720.0000,11599.0000
'00,"전  국",'C10798102,"  기타 냉동조리식품",2012,87.0000,955311.0000,950059.0000,43240.0000
'00,"전  국",'C10798103,"  김밥(제조도매)",2012,26.0000,204242.0000,204158.0000,292.0000
'00,"전  국",'C10798104,"  도시락(제조도매)",2012,114.0000,433040.0000,432769.0000,1539.0000
'00,"전  국",'C10798105,"  레토르트 식품",2012,38.0000,612129.0000,596515.0000,38947.0000
'00,"전  국",'C10798109,"  기타 식사용 조리식품(제조도매)",2012,99.0000,330080.0000,329377.0000,4827.0000
'00,"전  국",'C10799101,"  계란 및 새알 가공품",2012,22.0000,210719.0000,211824.0000,7496.0000
'00,"전  국",'C10799109,"  기타 식품",2012,4.0000,35342.0000,34806.0000,593.0000
'00,"전  국",'C10800101,"  배합사료(양우용)",2012,118.0000,4239356.0000,4234664.0000,36066.0000
'00,"전  국",'C10800102,"  배합사료(양돈용)",2012,61.0000,2561984.0000,2557179.0000,22211.0000
'00,"전  국",'C10800103,"  배합사료(양계용)",2012,48.0000,1615281.0000,1612482.0000,10506.0000
'00,"전  국",'C10800104,"  배합사료(기타 동물)",2012,40.0000,1401872.0000,1401542.0000,9910.0000
'00,"전  국",'C10800105,"  애완동물사료",2012,21.0000,166841.0000,165186.0000,5387.0000
'00,"전  국",'C10800106,"  사료 첨가제",2012,27.0000,206834.0000,206215.0000,9023.0000
'00,"전  국",'C10800107,"  배합사료(양어용)",2012,7.0000,101767.0000,102318.0000,2127.0000
