품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  음성자동응답기,3,3217,3320,92
  비디오도어폰,9,126234,127455,11382
  인터폰,10,64656,64254,8626
  홈네트워크 장비,19,75312,73197,9291
  기타 유선통신기기,19,48313,48251,3102
  유선 전화기 부품,17,39369,39360,1491
  교환기 부품,8,26967,26815,563
  반송기기 부품,6,21214,21114,993
  광통신기기 부품,50,201990,199259,14998
  기타 유선 통신기기 부품,29,44615,44498,916
  방송용 증폭기,16,56834,55603,6995
  방송용 음향관련 기기,10,80432,80011,2564
  방송용 영상관련 기기,20,66595,66534,530
  케이블TV 수신자용 컨버터,5,10511,10646,112
  케이블TV 수신자용 기기,9,55959,56448,889
  위성방송 수신용 안테나,9,23131,22688,808
  위성방송 수신기,47,1479445,1483138,20886
  유선방송 송수신기,2,...,...,...
  기타 TV송수신기,6,94413,94254,509
  라디오송신기,2,...,...,...
  DMB 송수신 기기,7,14431,14618,1156
  기타 송신관련 기기,3,5945,5945,0
  폐쇄회로 카메라,122,928783,920804,36902
  기타 방송국용 기기,14,46317,46798,1755
  방송국용 기기의 부분품,22,75039,73237,4582
  휴대용 전화기( CDMA 방식),20,11666940,11690215,56784
  휴대용 전화기( GSM 방식),13,20305584,20309036,83179
  주파수 공용통신 단말기,9,28757,27934,3197
  무선 호출기,3,6274,6205,101
  무전기,24,194878,194610,1120
  기타 무선 통신전화기,16,86958,86694,2166
  무선통신용 교환기,12,263646,262475,3048
  무선통신 기지국용 송수신기,22,312119,312149,5307
  무선통신용 중계기(릴레이),73,845582,850379,38198
  안테나시스템,43,186024,185064,5595
  RFID ( 전자테그),9,20749,20848,310
  기타 무선통신 시스템,26,1099994,1097936,8931
  기타 무선통신기기,23,78834,78177,1490
  SAW Filter(표면탄성파 필터),7,34396,34797,3020
  무선통신 단말기의 부품,93,2964330,2941552,94389
  무선통신기기의 부품,175,829682,826316,20265
  음극선관 칼라 TV,3,113145,111103,3248
  LCD TV,24,2833909,2828837,32117
  PDP TV,11,1572108,1570700,27811
  프로젝션TV,4,18956,24911,3023
  기타 TV,14,61417,59383,4222
  텔레비전의 부품,51,1179416,1184490,15468
  영상모니터,36,212036,212603,6287
  비디오테이프 녹화재생기,10,150661,151085,2867
  레이저디스크 플레이어 및 DVD 플레이어,12,185145,183271,5729
  캠코더,2,...,...,...
  PMP,6,31076,29947,3485
  DVR,29,245043,245051,7078
  외장형 DMB 튜너 (PC 장착용),6,22652,22488,1065
  외장형 DMB 튜너 (자동차 장착용),10,103574,102890,5455
  안테나,23,142350,141617,5343
  비디오용 헤드드럼,7,13453,13644,379
  데크 메커니즘,4,34019,34079,420
  가정용 라디오,4,6277,6245,607
  차량용 라디오,24,600253,606290,15974
  전축,2,...,...,...
"  CD플레이어,레코드플레이어 및 턴테이블",2,...,...,...
  MP3 Player,14,24232,24582,1507
  어학실습기,4,2331,2248,514
  녹음기 및 녹음재생기,6,101128,102172,1989
  노래반주기,6,98788,99641,3122
  기타 음향 녹음 또는 재생기기,8,23315,22663,1117
"  라디오, 녹음 및 재생기기의 부품",21,72489,71652,2758
  스피커,39,247044,246290,6983
  확성기,1,...,...,...
  기기용 앰프셋트,54,267739,265153,8164
  오디오용 튜너,2,...,...,...
  이퀄라이저,1,...,...,...
  픽업,4,198195,198092,1125
  마이크로폰과 그 스탠드,25,156329,155526,21740
  헤드폰,12,10605,11155,255
  이어폰,8,18803,18458,676
  자동차용음향증폭기,3,6808,6808,0
  기타 음향관련 기기,11,129683,127653,5494
  음향기기용 자기헤드,4,3302,3351,17
  음향기기의 전용부품,68,285078,285157,4681
  자기 테이프(녹음용롤상필름),4,99900,102813,7189
  자기 테이프(녹화용롤상필름),2,...,...,...
  자기 및 광 디스크,18,73460,72915,2543
" 의료, 정밀, 광학기기 및 시계 제조업",1994,10711998,10660741,412671
  의료용 방사선 장치,28,229265,224003,17189
  산업용 방사선장치,6,7997,7989,1505
  방사선 기타 장치,7,12196,12200,209
  방사선장치의 부품,5,7040,7065,76
  심전계,7,16980,17256,1283
  초음파진단기,13,363236,362591,9883
  전자혈압계,10,18878,18614,1143
  기타 전기 및 전자식 진단용기기,17,38732,38612,3175
  광선치료기,48,190345,189023,10683
  환자감시장치,4,23182,22605,1635
  기타 전기식 치료 및 요법기기,22,36637,36120,3103
  전기·전자식 진단 및 요법기기 부품,14,68292,68075,833
  치과용 기기,14,46926,46268,2051
  치과기공소용 기기,6,10344,10471,1551
  치과 및 치과기공소용 기기의 부품,7,15873,15410,4174
  보청기,10,28663,28705,565
  치과용 임플란트,33,161850,162026,16437
  치과기공소의 제품,113,97821,96974,1645
  인공신체,3,5011,5013,26
  정형외과용 기기,23,50938,48532,8068
  정형외과용 기기 및 보청기 부품,6,13602,14286,868
  치과용 의자,5,108638,108170,2204
  병원침대,19,45698,45091,2145
  이·미용실 의자,4,3272,3283,21
  기타 의료용 가구,13,17687,17956,597
  주사기 및 수혈세트,44,184857,181672,13565
  살균기(의료 및 실험실용),15,27973,27804,5733
  산소호흡기,4,17228,17611,918
  기타 호흡관련 의료기기,11,9894,9588,398
  기타 의료용 기기,95,274538,273365,16168
  기타 의료기기 부품,27,67810,66116,9623
  측량기기,14,37176,36162,1723
  GPS 시스템,7,18370,18193,662
  항해용 기기,21,299931,298223,4165
  리모콘,36,176048,175539,5135
  텔레매틱스 단말기,1,...,...,...
  텔레매틱스 단말기(After Market 용),9,166977,165502,10608
  내비게이션,44,474967,475018,11860
  측량기 및 항해용 무선기기의 부품,17,107089,106466,3243
  오실로스코프 및 오실로그래프,4,12111,12026,535
  전자계측기,35,172766,171213,5294
  기타 전기량 측정 및 검사용기기,49,85160,85243,2671
  전기량측정 및 검사용기기의 부품,26,80841,79741,2417
  유량계 및 액면계,28,122513,121039,5530
  압력계,19,32716,32630,327
  공해계측기,52,126543,125845,4103
  온도계,12,18148,18061,1040
  재료시험기,50,158690,157789,5074
  열측정 및 풍력계기,1,...,...,...
  반도체 검사장비,38,236571,234744,10081
  기타 물질 측정 및 검사기기,77,152006,152154,8345
  물질 검사·측정 및 분석기구의 부품,43,199513,199088,7768
  가스공급계기,12,44929,44405,2217
  수도미터,12,31245,31118,954
  기타 기체 및 액체공급계기,3,8822,6322,2500
  전기공급계기,22,118099,119074,5731
  속도계,8,221691,221669,3419
  기타 적산계기,9,116025,115656,1541
  속도계 및 적산계기 및 부품,27,91175,91215,1352
  온도 자동조절장치(공업용 제외),62,342218,341560,12356
  기타 자동조절기,44,128371,126958,3330
  자동조절기(공업용 제외)의 부품,20,38540,38489,687
  온도자동제어장치,25,205411,205294,790
  산업용온도조절기,30,243542,242985,8362
  기타 산업처리공정 제어장비,136,527031,525162,8977
  공업계기의 부품,38,191472,191016,3143
  도안 및 제도기구,7,35951,35248,1795
  도안 및 제도기구의 부품,2,...,...,...
"  기타 측정, 시험, 항해 및 정밀기기 및 부품",20,53803,53804,1362
  선그라스,4,11308,11389,414
  기타 안경,6,39173,37161,2844
  안경테,45,94473,94789,2842
  기타 안경 부품,5,2880,2881,53
  광섬유,1,...,...,...
  광학렌즈,51,457404,452876,24154
  안경용 렌즈,29,174866,173100,28559
  콘택트렌즈,26,55515,55756,7086
  광학필터,6,136558,135346,3541
  편광재료용 판,3,73788,75556,1009
  기타 광학요소 관련품,11,1104235,1100736,19475
  디지털 카메라,6,796080,795095,7568
  기타 사진기,7,12432,12179,518
  투영기,6,15659,15996,623
  사진섬광기구,1,...,...,...
  기타 사진관련 기기,3,15501,17180,582
  영화관련 기기,6,22149,21940,540
"  사진기, 영사기 및 관련장비의 부품",15,75759,74758,2723
  쌍안경 및 천문관측기기,7,12683,12726,486
  광학현미경,6,18935,18739,341
  기타 광학기기,16,70932,70798,1387
  레이저발생기기,4,42651,44499,1855
  기타 광학기기의 부품,10,43945,43717,2083
  휴대용 시계,14,81680,82081,12123
  벽시계 및 탁상시계,4,7648,7606,525
  기타 시계,3,13835,13802,423
  시계케이스,2,...,...,...
  시계줄(금속제),2,...,...,...
  기타 시계부품,2,...,...,...
 전기장비 제조업,4680,44215358,44052596,1370416
  소형 전동기,79,1488522,1478678,58633
  중대형 직류 및 교류겸용 전동기,30,163367,163165,4012
  중대형 교류전동기,28,199158,197898,7031
  발전기,27,924971,922518,12236
  발전기세트,11,69673,68952,2562
  회전위상변환기,3,4634,6173,197
"  전동기, 발전기 및 발전기 세트의 부품",118,647362,643534,23675
  송배전변압기,27,458456,451826,24324
  발전변압기,10,54258,54747,1941
  특수목적용 변압기,23,164932,164780,7503
  산업용 일반변압기,50,464206,460293,15987
  전압조정기,17,25124,24887,908
  변압기 부품,55,220926,222990,6490
  형광등용 안정기,62,180149,179788,5899
  형광등용 안정기의 부품,12,48101,48393,751
  정류기,44,185951,183051,11007
  인버터,41,316111,317128,5028
  어댑터,28,48981,48718,1436
  통신 및 컴퓨터용 전원장치,17,79711,82532,1376
  무정전 전원장치,67,353717,350948,15258
  밧데리 충전기,52,430619,429958,16827
  핸즈프리,6,43462,44609,1701
  배터리팩,18,365756,359132,16348
  기타 정지형 변환기,20,50695,50884,4143
  정지형 변환기의 부품,44,205364,206393,5084
  고압 차단기(1000 v이상),32,958800,944027,42705
  배선용 차단기(1000 v미만),27,1162700,1158845,13728
  기타 저압 차단기(1000 v미만),44,157215,157320,3111
  퓨즈,9,21903,21830,1343
  스위치(전기개폐용),113,935262,933990,41523
  계전기,32,149233,149981,4558
  기타 개폐 및 보호관련 기기,50,90362,88887,3435
  플러그(전기접속용),25,79272,79278,1735
  콘센트,25,73946,73879,2101
  커넥터(일반전기접속용),118,1552921,1546834,66968
  전등용 소켓,22,43499,42987,1769
  기타 전기 접속기기,60,242569,241955,10627
  전자 커넥터(통신 및 전자기기회로용),75,327205,327193,10995
"  전기회로개폐, 보호 및 접속장치 부품",120,695149,692471,23865
  저압배전반(전압1000V 미만),199,1144943,1141006,22811
  고압배전반(전압1000V 이상),115,560529,561545,7009
  수치제어장치,16,350480,350531,3676
  자동전기제어반,167,545154,545411,6574
  프로그램 콘트롤러,106,311234,308752,8721
  배전반 부품,107,324370,323336,7788
  일차전지,8,111989,113972,4050
  일차전지 부품,5,20673,20533,188
  차량용 납(연)축전지,15,1148446,1140997,36121
  기타 납(연)축전지,3,21320,20879,856
  알칼리 축전지,30,1870206,1853802,62310
  축전지 부품,13,82399,82293,544
  광섬유 케이블,25,268117,265966,7573
  전력선(송배전용),65,3358685,3334085,118006
  통신선,55,848154,847616,32525
  신호 및 제어선,20,84668,84547,1060
  절연전선(옥내외 저압 배선용),64,1270135,1254294,42364
  권선(마그네틱선),38,971825,970660,41762
  기타 전선,83,1338424,1340423,11755
  절연코드 및 코드세트,108,538082,535944,22557
  백열 전구,11,37462,37119,2481
  할로겐 전구,16,82059,80666,2916
  기타 필라멘트 전구,8,10988,10882,320
  형광등(램프),29,297965,297208,16204
  기타 방전램프,20,67459,66464,4226
  기타 전구 및 램프,24,375950,378619,12853
  전구 및 램프 부품,16,26513,26128,2392
  자전거 및 차량용 조명기구,47,1196497,1198496,20117
"  선박, 철도차량, 항공기 및 오토바이용 조명기구",4,16946,17020,1893
  차량용 조명 및 전기장치의 부품,8,18158,18008,637
  가정용 고정식 조명장치,83,389528,387173,7359
  가정용 이동식 조명기구,16,24616,24466,636
  산업용 조명장치,62,221831,220827,8801
  옥외용 조명장치,69,173182,171920,6782
  조명장치 부분품,17,54450,54667,584
  전기식 간판,163,389280,390058,5413
  장식용 조명세트,1,...,...,...
  전시 및 광고용 조명장치 부품,4,10238,10271,117
  휴대용 전등기구,5,4398,4465,217
  기타 비전기식 조명장치,27,54395,54114,2032
  기타 조명장치 부품,1,...,...,...
  가정용 전자레인지,7,366307,365495,8858
  가정용 전기 밥솥,7,320853,331432,19690
  전기 후라이팬,7,10306,10167,965
  전자 오븐,2,...,...,...
  기타 전기식 조리기기,11,34813,35402,796
  소형냉장고(200ℓ이하),4,67020,65537,11450
  중형냉장고(201ℓ ~ 400ℓ이하),3,1623590,1618993,30212
  대형냉장고(401ℓ이상),8,894751,889904,17868
  김치냉장고,12,693024,684807,22973
  가정용 전기믹서기,18,59254,60051,4167
  가정용 식기 세척기,7,108820,110105,3371
  가정용 전기식 식기 건조기,11,18265,17838,1110
  렌지후드,15,130182,128674,5374
  기타 주방용 전기기기,11,56524,56949,739
  주방용 전기기기 부품,62,269701,269061,4365
  전기담요 및 장판,34,114925,115703,4458
  전기 난로,21,36466,36579,2347
  전기보일러,12,69986,69235,4035
  전기온수기,8,24487,23289,2057
  가정용 온풍기,9,60634,61154,13787
  기타 가정용 전기식 난방기기,25,53750,53353,1808
  가정용 전기식 난방기기의 부품,8,17526,17561,463
  전기 면도기,1,...,...,...
  전기 안마기,19,55032,54796,3655
  전기식 헤어드라이어,15,42303,42542,2014
  전기 이발기,3,2727,3307,403
  기타 전기식 이미용기구,35,116763,116899,3428
  가정용 세탁기,17,2271955,2273080,42942
  가정용 선풍기,9,47813,44930,5483
  가정용 환풍기,15,33905,33136,1992
  가정용 가습기,14,57285,56683,4010
  가정용 전기청소기,28,654280,654661,8157
  전기비데,25,186609,185229,14498
  전기다리미,3,4890,4875,238
  기타 가정용 전기기기,38,93642,93595,2217
  기타 가정용 전기기기 부품,134,1101656,1097826,18421
  가정용 기름 보일러,3,46856,46891,2530
  가정용 가스 보일러,8,263014,263488,10809
  석유 난로,9,30064,30624,1270
  가스 난로,5,16381,16768,1713
  기타  가정용 난방기기,16,20641,20873,1273
  가스레인지,20,214464,214687,7290
  가스오븐레인지,4,150396,150379,5541
  가정용 비전기식 휴대용 조리기기,12,88766,87660,5904
  기타 비전기식 가정용 조리기기,7,14191,14102,208
  가정용 비전기식 조리 및 난방기기의 부품,52,162676,162162,5472
"  도난, 화재 및 유사 경보기(차량용 제외)",31,91980,92850,3045
  차량용 도난 및 화재 경보기,13,43681,44033,3249
  기타 신호장치,34,54296,54439,2651
  전기경보 및 신호장치 부품,12,36731,36740,599
  전기 애자 및 절연용 물품,20,126984,127943,3795
  탄소전극 및 흑연전극,4,7294,7247,514
  카본부러쉬,7,35964,36099,1116
  기타 전기용 탄소제품,10,15637,15520,1014
  전기식 교통 통제장비,49,165554,164788,1807
  전기식 교통통제장비의 부품,14,32926,32636,881
  내연기관용 전기장치(자동차용 제외),4,14913,14575,636
  전자석 및 영구자석의 제품,19,48365,48412,1803
  아크 용접기,20,68232,67761,2726
  저항 용접기,19,95567,92414,8455
  기타 전기용접기,10,14655,14523,204
  신호 발생기,6,11376,11409,359
  오존 발생기,7,9165,9140,35
  이온 정수기,6,63662,60258,5608
  전기도금 및 전기분해용 기기,5,12292,12367,561
  초음파 세척기,12,22403,22332,752
  기타 전기장비,30,59461,59573,2048
  기타 전기장비의 부품,40,159314,159036,4450
 기타 기계 및 장비 제조업,10257,70201640,70064328,1931129
  선박용 내연기관,11,3387642,3384186,8652
  기계용 내연기관,9,320621,320184,3039
  내연기관 부품(차량 및 항공기용 제외),255,1898280,1890123,35684
  터빈,10,766787,765152,2158
  터빈 부품,6,38093,38965,1704
  유압실린더 및 유압시스템,89,517439,512592,27502
  공압실린더 및 공압액츄에이터,27,181394,178194,7468
  유압 펌프,37,213066,211441,3417
  기압식 기체펌프 및 압축기,5,38919,38532,2414
  기타 유압기기,10,74072,73790,598
  유압기기 부품,88,333578,333437,7345
  산업용 액체펌프,83,626736,626736,17128
  가정용 펌프,10,63299,64341,1995
  급유 및 계기용 펌프,14,63979,63144,4031
  액체펌프의 부품,28,59486,60065,714
  진공 펌프,42,347332,347144,20455
  냉매 압축기(차량용 제외),16,892206,892948,36717
  차량 에어컨용 압축기,9,628746,619606,13873
  기타 기체펌프 및 압축기,51,261434,260929,8686
  감압 밸브,26,125632,117642,11927
  유압 및 공기압전송용 밸브,94,528148,524675,20025
  체크 밸브,45,281054,279083,12399
  안전 밸브,52,237702,235352,14202
  수전,104,494647,486123,35126
  볼 및 플러그밸브,20,130681,127663,12860
  자동조절 및 원격조절밸브,34,161831,161593,5458
  기타 밸브,143,582015,583252,26024
"  탭,밸브의 부품",71,283140,283673,13295
  볼 베어링,23,809263,809956,42599
  원추형 롤러베어링,5,150813,150485,13180
  지구베어링,4,17585,17581,16
  기타 베어링,37,185703,186325,5026
  베어링 부품,29,139752,139732,2563
  변속기,79,445542,442149,12335
  기어 및 기어링,63,365828,365642,10871
  체인(동력전달용),26,136156,135511,3848
  플레인베어링,29,181957,184329,12389
  기타 기계식 동력전달장치,22,42734,42559,1419
  기계식 동력전달장치 부품,17,40199,40101,261
  공업용로,37,388612,387601,2091
  소각로,25,252500,251322,2164
  전기로,42,152245,151974,1269
  로 부속품 및 부품,43,145719,146005,1847
  포크리프트 트럭(지게차),10,953767,945834,28244
  기타 산업용 트럭 및 적재기,9,57131,56735,838
  산업용 트럭 및 적재기 부품,36,170707,169743,3153
  엘리베이터,67,1261245,1262410,5715
  에스컬레이터,7,111588,111737,180
  리프트기기,40,135393,134564,3360
  주차기,29,87149,87332,829
  승강기류 부품,88,338499,338202,3894
  컨베이어,215,885817,883283,11014
  자동창고시스템,16,302848,302943,253
  컨베이장치류 부품,28,66031,65906,154
  호이스트,28,143277,144961,5872
  물품취급용 크레인,74,1044119,1033452,25968
  윈치 및 캡스턴,10,19955,19870,449
  기타 물품취급장비,49,154998,153580,3268
  물품취급장비 부품,43,144971,145040,2248
  산업 및 상업용 냉장고,32,185096,183935,4744
  산업용 냉동기,59,449242,447333,18284
  냉각탑,21,76581,76678,613
"  냉동,냉장 쇼케이스",50,263993,263262,10823
  기타 냉동낭비,16,43995,43736,1013
  산업용 냉장 및 냉동장비 의 부품,126,729411,724748,17162
  룸에어컨,12,901050,904610,20708
  패키지에어컨,13,1147893,1151538,48112
  차량용 에어컨,30,1723825,1719053,31598
  시스템에어컨,7,729909,750906,36780
  에어핸드링유니트,51,267724,267502,3138
  팬코일유니트,7,26073,25874,985
  항온항습기,55,134379,133494,2645
  기타 공기조화장치,48,110144,108580,6774
  공기조절장치 부품,232,1539131,1534516,34558
  송풍기(산업용),135,626633,624177,10679
  송풍기(산업용) 부품,33,66907,66781,1264
  공기청정기,59,607099,605864,13712
  차량용 공기청정기,14,50072,50818,1105
  집진기,69,335906,335348,2344
  기타 기체 여과기 및 청정기,47,198776,197968,4796
  기체 여과기 및 청정기 부품,62,194806,191760,7812
  정수기,70,433459,433498,11757
  상하수정화장비,87,351115,350448,6191
  연수기,7,23900,23861,191
  기타 액체여과기,37,90710,91087,2455
  액체 여과기 부품,90,276032,272116,8336
  열교환기,138,1956000,1967223,19033
  증류기 및 가스발생기,12,65470,65459,158
  증류기 및 열교환기의 부품,26,192092,191744,2686
  복사기,5,416060,417139,6453
  현금자동지급기(CD),11,214311,213721,8795
  자동거래단말기(ATM),10,330054,353980,11486
  금전등록기,16,87835,86772,3227
  동전 및 화폐 처리기,23,88114,89416,3582
  표권 발행기,16,31232,31428,2330
  신용카드조회기,18,87973,88628,6549
  기타 계산 관련기기,2,...,...,...
  우편물취급기기,2,...,...,...
  문서 펀칭기(사무용) 및 스테이플러,8,14346,14356,592
  문서 및 그림 코팅기(사무용),6,39588,45946,1050
  기타 사무용 기계,12,28812,28599,3541
  복사기 전용부품,44,287874,290095,14991
  계산관련 기기의 전용부품,17,65759,65832,2055
  사무기기의  전용부품,9,29881,30197,635
  산업용 저울,18,41024,41624,1055
  가정 및 상업용 저울,13,52071,52255,3763
  저울 부품,4,5332,5285,292
"  병,용기의 세척기",4,10934,10895,43
  충전기(포장겸용),21,70486,71155,3132
  포장기,78,250921,249780,10507
  포장기 및 용기세척기 부품,10,11862,11139,1329
  자동판매기 및 화폐교환기,12,53122,54577,1143
  자동판매기 및 화폐교환기 부품,8,22838,22104,2038
  소화기,24,163113,163020,6767
  스프링쿨러,4,8924,8484,862
  분사기,49,277217,276426,6411
  소화장비 및 분사기 부품,38,128762,128289,4415
  수지식 동력연삭기,5,56823,56518,6353
  기타 수지식 동력 공구,27,84862,85356,4955
  수지식 동력공구 부품,7,18027,18096,517
  가스 용접 및절단기,33,115989,115010,7675
  기타 용접기,11,22746,22620,406
  원심분리기,10,28140,28472,2219
  산업용 접시 세척기,14,48372,48064,1128
  기타 일반목적용 기계,128,304907,299803,12792
  기타 일반목적용기계 부품,44,169572,169567,1044
  경운기,4,69336,68711,3488
  농업용 트랙터,7,560551,556376,49127
  쟁기,5,11699,11838,626
  기타 경지정리용 기계,27,68925,68356,5677
  농업용 분무기,23,67785,66260,4323
  이앙기,6,136006,134988,9445
  기타 재배관련기기,37,63001,62262,3713
  콤바인(농업용),6,139685,143813,6249
  농업용 건조기,24,93583,93977,3650
  기타 수확관련 기계,26,50875,49487,2392
  사료가공 기계(농업용),18,56391,56446,643
  기타 축산기계,15,28419,28472,350
  기타 농업용기계,28,47088,46279,2090
  농업용 기계 부품,158,382624,378322,28729
  레이저 가공기,17,89579,85273,7164
  방전가공기,11,44907,44174,2680
  기타 전자응용 공작기계,25,50401,50448,551
  전자응용 가공 공작기계의 부품,22,62511,61933,907
  머시닝 센터,27,1144162,1134664,39919
  전용기,22,103313,102434,3227
  수치제어식 선반,21,920678,913690,35511
  범용 선반,9,54836,54725,3291
  드릴링기,7,37390,36831,844
  보링기,4,212808,206297,9766
  밀링기,11,77033,76464,13955
  탭핑기,7,14009,14080,198
  연삭기,20,69209,68291,4518
  기어절삭기,1,...,...,...
  톱기계(금속용),13,42188,41316,1543
  기타 금속절삭가공기계,35,85765,84252,3781
  금속절삭가공기계의 부품,74,191443,190524,5348
  액압 프레스,13,47913,50624,1992
  기계 프레스,68,966033,970610,12158
  금속 절곡기,34,106683,106589,1026
  금속 전단기,12,127074,125100,3897
  펀칭기,9,16865,17361,6
  금속 단조기 및 인발기,7,27935,27900,214
  금속 인발기,2,...,...,...
  나사 전조기,6,45671,48239,429
  금속선 가공기,10,59644,59236,572
  기타 금속성형기계,52,129685,127058,5716
  금속성형기계의 부품,41,93012,92648,1260
  목공기계,10,30064,30135,245
  기타 공작기계,87,386137,382327,13520
"  다이, 지그 및 공작기계 부착물",131,449882,463872,6650
  목공기계 부품,2,...,...,...
  기타 공작기계 부품,41,96967,97349,2015
  주물주조기계,22,84744,84363,1511
  금속 압연기,18,54819,54523,489
  압연기 롤,12,177334,177561,4548
  기타 금속주조 및 압연기 부품,10,15453,15414,220
  굴삭기,17,2762665,2764336,56732
  토공기계,17,104677,103630,3501
  건설용 크레인,29,117559,113806,4507
  콘크리트믹서,11,31497,31620,265
  콘크리트 펌프카,6,169123,162971,12124
  도로포장 기계,13,73790,74390,261
  기초공사기계,7,22614,22714,245
  로더,2,...,...,...
  기타 건설용 트랙터,3,64051,59922,8079
  기타 건설용 기계,26,59875,59779,1079
  무한궤도,3,200990,197788,6568
  건설용 기계 부품,157,1595625,1589488,43647
"  광물용 파쇄, 마쇄 및 선별기",43,163637,163649,2898
  기타 광산 기계,8,23907,23864,213
  콘크리트제품 제조기,9,39211,39146,505
  기타 광물제조장비,2,...,...,...
  광물처리장비 부품,13,28415,28533,450
  낙농품 가공기계,7,9433,9359,312
  정미기,13,55839,55328,4741
  기타 곡물가공기계,10,8118,8054,585
  육류가공기계,6,15082,15233,279
  기타 공장용 음식료품 제조기계,43,80766,79561,4493
  제빵용기계,13,36831,36785,173
  기타 상점용 음식료품 조리기계,20,37908,37775,901
  음식료품 및담배 가공기계 부품,9,17693,16940,4109
  업소용 세탁관련기기,11,17145,17118,1280
  염색기,13,27461,27301,1351
  나염기,5,21700,21820,366
  기타 섬유 마무리 가공기계,28,129081,128315,5325
  가정용 재봉기,2,...,...,...
  공업용 재봉기,9,67642,65923,8582
  연사기,5,9184,9489,487
  방적기,4,7288,7927,53
  기타 화학섬유 및 방적기,6,25312,24190,1499
  직기,11,22742,22761,357
  편직기,20,96251,96158,4947
  자동 자수기,6,105906,111425,8003
  기타 특수 직기,6,12837,12613,421
  가죽 및 신발제조 기계,11,39907,39829,538
  스핀들,4,7575,7533,55
  재봉기 부품,20,42990,42625,755
"  기타 섬유, 의복, 가죽 가공기계 부품",30,51762,51065,2414
  웨이퍼 가공 장비,107,1347836,1347860,34370
  반도체 조립 장비,173,1814263,1812293,53107
  칩마운터,106,1029943,1028004,46155
  기타 반도체 제조 장비,108,526246,526100,10503
  반도체제조 장비 부품,218,1067685,1065479,26806
  평면디스플레이 제조 장비,85,1114147,1117714,21642
  평면디스플레이 제조 장비 부품,5,11459,11428,31
  용접용로봇,4,6394,6249,418
  도장용로봇,1,...,...,...
  조립용로봇,10,88152,87692,3052
  기타 산업용 로봇,47,440944,438939,8738
  산업용 로봇 부품,37,123997,124710,2692
  펄프제조기계,5,4883,4889,57
  종이제조 기계(초지기),17,105764,104250,3273
  절단기,10,19646,18956,1372
  골판지제조기,2,...,...,...
  기타 종이가공 기계,7,15347,15532,105
  펄프 및 종이제조 기계 부품,12,32870,33521,588
  플라스틱 사출성형기,65,437381,436594,22293
  플라스틱 압출성형기,35,152296,148653,8629
  진공 및 열성형기,6,36467,35630,1025
  기타 플라스틱 제조 기계,26,73183,72624,2234
  고무 가공기계,9,99299,99329,1814
  고무 및 플라스틱 가공기계 부품,34,106660,106557,1163
  인쇄기계,37,121741,122221,3525
  기타 인쇄관련기계,23,55564,55662,1429
  인쇄 및 제본관련 기계 부품,23,76203,75605,1508
  프레스용 금형,339,1259316,1258291,24383
  플라스틱용 금형,514,1685916,1677029,33262
  기타 금형,290,622896,618991,12500
  몰드베이스,72,443190,442903,5653
  기타 주형관련 부속품,255,599452,598110,8101
  판유리제조기,6,21628,22211,249
  기타 유리공업용 기계,6,22725,22030,1930
  산업용 범용 건조기,57,182222,182108,4630
  금속 표면처리기,34,144814,145541,1306
  권선기,13,32974,32808,807
  화학제품 제조기계,16,87676,88611,762
  초음파 기기,4,23212,22170,1855
  전자식 모의훈련기기,12,46241,46283,422
  기타 산업용기계,266,795669,792318,26047
  산업용기계 부품,161,499512,496424,9686
 자동차 및 트레일러 제조업,3591,115767356,115372324,2338410
  차량용 가솔린엔진,2,...,...,...
  차량용 디젤엔진,7,1144672,1146038,14003
  경승용차               ,3,2122313,2113221,58870
  소형승용차               ,3,5512884,5505009,56580
  중형승용차,5,13979976,13875559,289571
  대형 승용차(배기량2000cc이상),6,9113868,9057114,158403
  RV자동차(다목적용 승용차),7,18262217,18289302,393018
  경버스,1,...,...,...
  소형버스,2,...,...,...
  대형버스,5,1192753,1180166,18745
  자동차 KD세트(개조 및 분해),5,6306849,6290563,64330
  기타 자동차,6,21751,20120,3587
  경트럭,1,...,...,...
  소형트럭,2,...,...,...
  중형트럭,2,...,...,...
  대형트럭,4,1270145,1267088,32278
  특수목적용 자동차,2,...,...,...
  자동차 차체,85,499705,498440,9472
  기중기차,3,81791,84449,3896
  소방차,6,40377,41131,716
  기타 특장차,44,380588,377636,16627
  트레일러,14,97315,96647,3097
  트레일러 부품,8,14965,14761,290
  컨테이너(화물운송용),4,7437,7412,55
  자동차 엔진용 부품,655,6863414,6838937,174449
  자동차 차체부품,592,10498419,10496926,114323
  동력전달장치(자동차부품),446,8760231,8734781,178245
  스타터모터,19,456415,455559,10681
  점화플러그,9,91521,91591,4003
  내연기관용 발전기,12,95914,95352,2793
  배전기와 점화코일,7,28694,28576,463
  점화 및 기타 목적용 와이어링하네스,89,1865946,1857574,41929
  와이퍼 및 서리제거용 열선,32,260717,258580,6991
  음향신호용 기구,4,6447,6363,244
  기타 자동차용 전기장치,20,103993,102881,3292
  자동차용 전기장치의 부품,32,1050152,1048355,18191
  현가장치 및 부분품(자동차부품),110,1427489,1426860,26707
  제동장치 및 부분품(자동차부품),245,3632215,3624754,75823
  조향장치 및 부분품(자동차부품),217,2489191,2488224,54237
