품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  기타 권련,1,...,...,...
 섬유제품 제조업; 의복제외,2457,12922090,12915913,868063
  방적용 면,3,9115,9104,80
  순면사,29,577123,565988,48318
  면혼방사,13,162107,166326,9807
  방적용 모,2,...,...,...
  순소모사,13,57929,60000,9285
  혼방소모사,15,81782,79707,11183
  순방모사,10,74272,70106,26536
  혼방방모사,21,54501,54875,8225
  재생섬유사,15,55059,54783,4168
  순합성섬유사,21,233885,234704,12433
  혼방합성섬유사,27,216534,222163,16188
  재봉사,30,122249,120854,8187
  편물사,4,13421,13293,688
  커버링사,45,116123,114597,6611
  기타가공사,51,187186,186528,12423
  견사 및 견방사,2,...,...,...
  순면직물,38,165857,168084,12215
  혼방면직물,46,210008,209790,26420
  순소모직물,10,115724,118520,7288
  혼방소모직물,10,107315,108703,11740
  순방모직물,7,18300,17823,4051
  혼방방모직물,7,59516,59906,5338
  비스코스직물,15,55392,50556,7557
  아세테이트직물,19,118212,118440,5491
  순합성섬유직물,183,843923,851425,87096
  혼방합성섬유직물,172,865441,868720,81946
  순견직물,34,87042,89377,16224
  혼방견직물,5,34309,33884,6913
  마 및 기타 식물성 직물,8,18383,18828,1221
  파일직물,19,186449,185700,16587
  유리섬유직물,9,68218,69938,4006
  기타 특수직물,16,97419,96131,5650
  이불,93,231239,228400,18499
  담요,16,135412,135426,3682
  타월(직물),24,127917,125899,11995
  린넨,2,...,...,...
  침구용 카바,35,71631,71309,3781
  베개 및 유사제품,17,21075,21614,2260
  기타 침구관련제품,21,26241,26042,792
  자수제품 및 자수용재료,44,59136,59162,2745
  커튼 및 유사제품,60,113956,112986,10782
  텐트,9,27671,27241,3630
  천막 및 덮개(직물),60,483918,476194,27691
  기타 캔버스제품,13,27014,26944,413
  직물포대,41,185549,185247,9852
  낙하산,2,...,...,...
  차량의자 카바,70,699308,708280,28494
  청소용 포(직물),29,70743,70465,4930
  가정용품 덮개,8,7971,7945,83
  기타 직물제품,50,73697,74138,4432
  견편조물,10,91819,92034,4640
  면편조물,28,152168,153456,9489
  인조섬유편조물,49,319215,319049,9286
  기타 편조물,29,144390,142628,6933
  편조제품(의복 및 의복액세서리 제외),4,18604,17897,2302
  섬유사 염색,43,184126,179886,17840
  직물 염색,118,956910,950753,44466
  직물원단 날염,46,272461,273225,7359
  의복 및 직물제품의 날염,10,40922,40659,899
  섬유 호부처리,10,29285,29146,523
