행정구역별,품목별,항목,단위,2014 년
전  국,기타 수산동물 및 부산물 건제품,완제품 연말재고액[백만원],백만원,1228
전  국,멸치젓류,사업체수[개],개,9
전  국,멸치젓류,생산액[백만원],백만원,8043
전  국,멸치젓류,출하금액[백만원],백만원,8026
전  국,멸치젓류,완제품 연말재고액[백만원],백만원,217
전  국,명란젓 및 창란젓,사업체수[개],개,24
전  국,명란젓 및 창란젓,생산액[백만원],백만원,61847
전  국,명란젓 및 창란젓,출하금액[백만원],백만원,62026
전  국,명란젓 및 창란젓,완제품 연말재고액[백만원],백만원,3202
전  국,기타 젓갈류,사업체수[개],개,32
전  국,기타 젓갈류,생산액[백만원],백만원,76321
전  국,기타 젓갈류,출하금액[백만원],백만원,75774
전  국,기타 젓갈류,완제품 연말재고액[백만원],백만원,2583
전  국,어류 염장품,사업체수[개],개,46
전  국,어류 염장품,생산액[백만원],백만원,168100
전  국,어류 염장품,출하금액[백만원],백만원,170165
전  국,어류 염장품,완제품 연말재고액[백만원],백만원,10650
전  국,냉동 참치,사업체수[개],개,10
전  국,냉동 참치,생산액[백만원],백만원,255418
전  국,냉동 참치,출하금액[백만원],백만원,260138
전  국,냉동 참치,완제품 연말재고액[백만원],백만원,14664
전  국,냉동 고등어,사업체수[개],개,25
전  국,냉동 고등어,생산액[백만원],백만원,83331
전  국,냉동 고등어,출하금액[백만원],백만원,83913
전  국,냉동 고등어,완제품 연말재고액[백만원],백만원,3556
전  국,동태,사업체수[개],개,6
전  국,동태,생산액[백만원],백만원,17951
전  국,동태,출하금액[백만원],백만원,17950
전  국,동태,완제품 연말재고액[백만원],백만원,22
전  국,기타 어류 및 부산물의 냉동품,사업체수[개],개,45
전  국,기타 어류 및 부산물의 냉동품,생산액[백만원],백만원,168651
전  국,기타 어류 및 부산물의 냉동품,출하금액[백만원],백만원,168876
전  국,기타 어류 및 부산물의 냉동품,완제품 연말재고액[백만원],백만원,11343
전  국,갑각류 냉동품,사업체수[개],개,19
전  국,갑각류 냉동품,생산액[백만원],백만원,64705
전  국,갑각류 냉동품,출하금액[백만원],백만원,63617
전  국,갑각류 냉동품,완제품 연말재고액[백만원],백만원,4153
전  국,연체동물 냉동품,사업체수[개],개,54
전  국,연체동물 냉동품,생산액[백만원],백만원,184199
전  국,연체동물 냉동품,출하금액[백만원],백만원,184149
전  국,연체동물 냉동품,완제품 연말재고액[백만원],백만원,14388
전  국,"어육(신선 및 냉동한 것, 등뼈 제거)",사업체수[개],개,79
전  국,"어육(신선 및 냉동한 것, 등뼈 제거)",생산액[백만원],백만원,346719
전  국,"어육(신선 및 냉동한 것, 등뼈 제거)",출하금액[백만원],백만원,349012
전  국,"어육(신선 및 냉동한 것, 등뼈 제거)",완제품 연말재고액[백만원],백만원,14979
전  국,비식용 어분,사업체수[개],개,6
전  국,비식용 어분,생산액[백만원],백만원,23540
전  국,비식용 어분,출하금액[백만원],백만원,23545
전  국,비식용 어분,완제품 연말재고액[백만원],백만원,566
전  국,기타 수산동물 가공품,사업체수[개],개,9
전  국,기타 수산동물 가공품,생산액[백만원],백만원,30456
전  국,기타 수산동물 가공품,출하금액[백만원],백만원,29600
전  국,기타 수산동물 가공품,완제품 연말재고액[백만원],백만원,1827
전  국,어류 부산물(신선 및 냉동한 것),사업체수[개],개,8
전  국,어류 부산물(신선 및 냉동한 것),생산액[백만원],백만원,26976
전  국,어류 부산물(신선 및 냉동한 것),출하금액[백만원],백만원,26961
전  국,어류 부산물(신선 및 냉동한 것),완제품 연말재고액[백만원],백만원,1306
전  국,김,사업체수[개],개,235
전  국,김,생산액[백만원],백만원,865702
전  국,김,출하금액[백만원],백만원,857367
전  국,김,완제품 연말재고액[백만원],백만원,27389
전  국,미역,사업체수[개],개,55
