품목별,출하액 (백만원)
아동용 구두(단화 포함),8296
가죽 장화,17541
고무장화,29119
프라스틱 및 고무제 운동화,24528
기타 플라스틱 및 고무제 신발,12319
직물슬리퍼,X
플라스틱 및 고무 슬리퍼,49829
가죽 슬리퍼,X
운동화,388971
가죽 등산화,371575
가죽 샌달,34284
기타 직물갑피제 또는 가죽갑피제 신발,99689
스포츠화,12567
기타 재료제의 신발,X
가죽제 신발부분품,84135
플라스틱 및 고무제 운동화부분품,105677
기타 플라스틱 및 고무제 신발부분품,77200
기타 재료제의 신발부분품,28177
목재 및 나무제품 제조업; 가구 제외,5559394
소각재,51152
각재,466322
판재,110708
제재부산물,54771
마루용 판재,239016
우드몰딩,62537
목모와 목분,35068
칩상 또는 삭편상의 목재,116356
기타 표면가공목재,56622
표면처리 및 방부처리목재,237040
단판,35218
일반 합판,295347
가공합판,451416
파티클보드(PB),340919
MDF(중밀도섬유판),393267
강화마루,138738
재생목재,115431
목제의 창문 및 창문틀,118006
목제의 문 및 문틀,503411
목제 패널,267521
목제의 건물 부착물,131836
목제 깔판류 및 기타 적재용 판,633331
목제통 및 관련 부품,42557
목제의 포장 및 운반용 상자,432822
목제의 케이블드럼,31783
목제도구 및 부품,10509
주방용 또는 식탁용 목제품,24728
목제 그림틀 및 사진틀,9223
기타 장식용 목제품,13712
장의용 목관,12970
기타 목제품,117372
콜크 및 콜크제품,X
대나무 돗자리,5279
기타 조물제품,X
"펄프, 종이 및 종이제품 제조업",23064420
화학펄프,X
기타 펄프,X
신문용지,777563
백상지,1453066
중질지,244872
인쇄용 박엽지,126735
아트지,1219765
정보용지,739519
지폐용지,X
수제지,13268
기타 인쇄 및 필기용지,51787
크라프트지,188703
골판지원지,2431736
백판지,795896
기타 판지,16810
적층가공지(박지),555386
포장지,380914
접착지,189805
기타 가공지,120483
위생용지,316927
기타위생용지,64259
기타 종이 및 판지,85876
골판지,950409
골판지 상자,4401774
기타 골판지제 관련제품,31588
종이 포대,251990
종이 가방,191371
판지상자 및 용기,674043
식품위생용 종이상자,255011
식품용 종이용기,405806
기타 종이상자 및 용기(판지 및 골판지 이외),414693
지관(판지 및 골판지 이외),278642
전자복사기용지(소매용),64182
노트류,198094
컴퓨터용지,115297
앨범,46815
바인더,50519
사무용 봉투,61478
장부류,X
기타 문구용 종이제품,91064
화장지,1204661
종이 타월,666897
종이 생리대,366874
종이 기저귀,643895
기타 위생용 종이제품,11579
종이벽지,277307
직물벽지,154629
장판지,X
여과지,272643
종이 라벨,659496
식품용 종이제품(용기 및 상자 제외),274263
기타 종이 및 판지제품,76179
인쇄 및 기록매체 복제업,568429
인쇄판,534961
오디오 복제물,X
기타 기록매체 복제물,X
"코크스, 연탄 및 석유정제품 제조업",113581814
석탄코크스,X
콜타르(조상의 것),105044
연탄,82594
휘발유,15812517
제트유,16308183
등유,2735568
경유,37149630
경질중유(벙커A유),X
중유(벙커B유),412664
벙커C유,7110240
나프타,16315359
솔벤트,1684839
윤활기유,5693759
프로판가스,1223593
부탄가스,2324422
윤활유(석유기저),2811698
그리스(석유기저),92645
재생 윤활유 및 그리스,109360
파라핀,147810
아스팔트,2371502
재생유,525293
기타 석유정제품,415191
화학 물질 및 화학제품 제조업; 의약품 제외,161874422
혼합부탄,208324
에틸렌,4077920
프로필렌,5133039
부타디엔,1452515
기타 비환식 탄화수소,342753
알킬벤젠,X
벤젠,5378291
톨루엔,889108
디니트로톨루엔(DNT),X
파라자일렌(P-X),13108856
올소자일렌,X
스티렌모노머(SM),3954334
자일렌(Xylene),1858074
기타 환식탄화수소,X
이염화에틸렌(EDC),532460
염화비닐모노머(VCM),943292
기타 탄화수소 유도체,820913
숯,16498
기타 검 및 나무화합물,98265
콜타르피치,220032
석탄 화학물,151705
부탄올,124432
옥탄올(2-EH),313843
메탄올,7153
에틸알콜(공업용),104798
에틸렌글리콜(EG),1304020
프로필렌글리콜(PG),X
폴리프로필렌글리콜(PPG),1206113
페놀,401885
기타 알코올 및 관련 유도체,115327
공업용 지방산,X
초산,180841
초산에틸,X
아크릴산,X
무수마레인산,57763
무수프탈산(PA),291060
테레프탈산(TPA),3716894
메틸메타크릴레이트(MMA),481353
아크릴레이트,457626
기타 카르복실산 및 그 유도체,130619
메틸터셔리부틸에테르(MTBE),385747
아민,115465
아크릴로니트릴(AN),X
톨루엔 디이소시아네이트(TDI),862351
메틸렌 디페닐 디이소시아네이트((MDI),1162068
카프로락탐(CPLM),X
아세톤,233650
가소제,1063209
ECH(에피클로로히드린),X
산화프로필렌(PO),X
초산비닐,X
아디핀산,X
BPA(비스페놀A),1011610
고순도이소프탈산,X
폴리테트라 메틸렌 에테르 글리콜(PTMEG),X
포르말린,X
기타 기초유기화합물,1384377
수소(Hydrogen),1332389
질소(Nitrogen),1347326
산소(Oxygen),554312
아세틸렌가스,41056
이산화탄소,175797
아르곤가스,262965
희소가스,X
기타산업용가스,846742
구입한 압축 및 액화가스의 정제,124376
염소,164435
염산,112325
수산화나트륨(가성소다),1099355
염소산나트륨,9412
기타 가성소다,381277
소다회,X
기타 소다공업제품,136866
카본블랙,827829
화이트카본,X
이산화규소,X
과산화수소,531786
황,262545
오산화인,13398
기타 비금속화합물,79386
황산,357389
인산,94508
기타 무기산,35005
황산알루미늄,89902
황산마그네슘,X
탄산칼슘,264155
규산소다,67168
시안화나트륨,158903
수산화알루미늄,84051
탄산칼륨,X
기타 칼륨염,X
기타 금속 무기화합물,265531
핵연료,X
폴리실리콘,853365
잉곳 및 웨이퍼(태양전지용),41735
아연화,278714
산화티타늄,102793
산화철,61151
기타 무기안료,93442
천연색소,X
유연제,81100
분산염료,130419
산성 및 매염염료,43476
직접염료,41678
반응성염료,128959
형광염료,44413
플라스틱착색제(마스터배치),491828
색소중간착색제,74006
기타 합성염료,81516
레이크계 안료,111906
