"전국","소주",17,1304441,1299809,17838
"전국","위스키",7,238508,239257,5782
"전국","매실주",7,36456,36562,2110
"전국","기타 증류주",22,18225,18901,1772
"전국","탁주",85,122520,122615,391
"전국","약주",24,105355,103613,4897
"전국","청주",4,84181,84579,1747
"전국","포도주 및 샴페인",7,10980,11552,1359
"전국","기타 발효주",46,89092,88357,9744
"전국","맥아",15,30637,28385,8821
"전국","맥주",7,1492146,1495712,15542
"전국","얼음",94,37052,36640,1336
"전국","생수",57,210770,211481,1676
"전국","탄산 음료",18,1094830,1089637,36372
"전국","알카리성 이온음료",10,158438,158747,9082
"전국","식물성 섬유음료",22,75545,73795,8378
"전국","인삼음료",28,119445,117947,7973
"전국","과실 및 채소 음료",67,815744,817801,32407
"전국","두유",15,245962,248296,7855
"전국","커피 음료",13,187334,187000,11352
"전국","기타 비알콜성 음료",52,304693,299256,25455
"전국","담배 제조업",11,2913529,2887347,417351
"전국","잎담배",3,456957,433567,364010
"전국","담배",7,2454626,2451834,53199
"전국","기타 권련",1,...,...,...
"전국","섬유제품 제조업; 봉제의복 제외",5501,17495041,17434655,1200875
"전국","견사 및 견방사",2,...,...,...
"전국","방적용 면",12,54327,54605,686
"전국","순면사",35,481368,486013,45332
"전국","면혼방사",19,188934,192136,18089
"전국","방적용 모",4,8746,8606,201
"전국","소모사",22,101214,101908,21658
"전국","방모사",39,168092,153389,30178
"전국","재생섬유사",4,3931,4431,200
"전국","합성섬유사",110,548686,560107,38356
"전국","재봉사",123,282391,282955,18699
"전국","커버링사",70,89834,89422,7741
"전국","기타가공사",73,184188,186881,14700
"전국","마사 및 기타 식물성 섬유사",3,7628,7120,3076
"전국","재생 섬유직물",38,166118,163325,39624
"전국","합성 섬유직물",674,2265519,2252540,217728
"전국","순면직물",81,264584,267685,23409
"전국","혼방면직물",72,214712,212908,19278
"전국","소모직물",26,350414,345897,33736
"전국","방모직물",20,86242,85561,8307
"전국","견직물",72,97896,98585,7670
"전국","마 및 기타 식물성 직물",11,13321,13192,1516
"전국","파일직물",30,192648,197352,15542
"전국","유리섬유직물",13,75387,74171,8002
"전국","기타 특수직물",31,94193,93578,3944
"전국","편직물",271,939056,936030,45918
"전국","남자용 속옷 (편직결합)",11,88452,86926,13951
"전국","여자용 속옷 (편직결합)",19,66834,63501,10563
"전국","유아용 내의(편직결합)",5,11413,9516,2297
"전국","남자용 셔츠(편직결합)",39,112329,111290,8902
"전국","여자용 셔츠 및 브라우스(편직결합)",79,299756,298238,15575
"전국","남자용 스웨터(편직결합)",59,218351,218844,4095
"전국","여자용 스웨터(편직결합)",123,564144,562697,22612
"전국","기타 남성용 편조 외의(편직결합)",10,35222,33969,11180
"전국","기타 여성용 편조 외의(편직결합)",21,115694,114932,9020
"전국","스타킹",31,75940,76108,5352
"전국","양말",117,399904,392102,33362
"전국","장갑(편직결합)",113,168730,167163,13850
"전국","기타 편조 의복부속품(편직결합)",37,40833,41386,656
"전국","섬유사 염색",65,205790,205587,12460
"전국","직물 염색",204,1160862,1156541,55533
"전국","직물원단 날염",69,309942,309681,7160
"전국","의복 및 직물제품의 날염",27,43909,44111,631
"전국","섬유 호부처리",16,32264,32049,561
"전국","의복 및 직물제품의 염색가공",25,36244,36505,749
"전국","섬유 기타 가공",59,92371,91774,3466
"전국","이불",208,271060,270055,16460
"전국","담요",25,159713,157633,9535
"전국","타월(직물)",64,144240,144568,11594
"전국","침구용 카바",114,144528,144151,7588
"전국","기타 침구관련제품",87,60016,60898,7733
"전국","자수제품",150,123164,123319,4699
"전국","직물제 커튼 및 블라인드",147,121928,120894,7039
"전국","텐트",18,37644,38034,7123
"전국","천막 및 덮개(직물)",170,500316,502577,21814
"전국","기타 캔버스제품",24,30471,30863,715
"전국","직물포대",116,268865,268588,13298
"전국","낙하산",3,11616,11551,274
"전국","차량의자 카바",98,785761,790352,35866
"전국","청소용 포(직물)",38,64847,63722,3756
"전국","가정용품 덮개",25,13692,13665,377
"전국","기타 가정용 직물제품",81,87432,87162,4277
"전국","카펫 및 유사제품",49,272447,269934,14567
"전국","끈 및 로프(식물성섬유)",7,9179,9179,117
"전국","끈 및 로프(합성섬유)",70,233019,231687,12696
"전국","어망",50,76729,76307,5316
"전국","기타 망",50,63454,64007,3127
"전국","끈가공품",71,76807,76920,2358
"전국","세폭직물",171,257550,254970,8740
"전국","워딩(솜) 제품",79,165341,164883,6826
"전국","부직포 및 펠트",114,594462,596219,35432
"전국","부직포 제품",117,388228,389097,16005
"전국","타이어코드 및타이어직물",10,732529,712242,54188
"전국","고무도포 사",6,12773,12824,305
"전국","기타 특수사 및 특수직물",23,67212,67223,1098
"전국","비닐도포직물",38,129176,127988,6249
"전국","고무도포직물",19,67524,66959,2674
"전국","기타도포 및 적층직물",83,144382,143976,7320
"전국","레이스원단 및 망직물(편직된 것)",88,169497,169189,7286
"전국","장식용 트리밍",12,8434,8397,66
"전국","직물제 필터",48,184267,185193,5851
"전국","기타 섬유제품",44,57964,57741,2928
"전국","봉제의복 및 모피제품 제조업",3360,11048983,10914050,1468372
"전국","남자 및 소년용 정장",101,1240751,1234736,122933
"전국","남자 및 소년용 코트",16,14253,13854,967
"전국","남자 및 소년용 자켓 및 점퍼",110,1021003,1011394,186022
"전국","남자 및 소년용 바지",88,411243,405840,63273
"전국","여자 및 소녀용 정장",378,1815894,1775300,315308
"전국","여자 및 소녀용 코트",64,74509,73430,9786
"전국","여자 및 소녀용 자켓 및 점퍼",242,1552642,1524873,281672
"전국","여자 및 소녀용 치마",88,153217,150927,26945
"전국","여자 및 소녀용 바지",161,357932,351894,52799
"전국","남자및 소년용 속옷",40,163324,163586,17025
"전국","남자및 소년용 내복 및 잠옷",17,18175,18003,3082
"전국","여자 및 소녀용 속옷",55,88777,86187,8665
"전국","여자용 보정의류",39,208841,205194,21306
"전국","여자 및 소녀용 내복 및 잠옷",28,36740,36523,4433
"전국","한복",45,22160,21903,1928
"전국","남성용 직물셔츠",176,546886,540619,61156
"전국","남성용 니트셔츠(니트원단 구입)",63,131075,128690,12571
"전국","여성용 직물 블라우스 및 셔츠",239,573473,566410,51386
"전국","여성용 니트 블라우스 및 셔츠(니트원단 구입)",108,364420,361159,41617
"전국","운동복",251,585183,584561,50487
"전국","학생용 교복",40,45221,46166,7559
"전국","사무, 작업 및 위생용 의복",315,298151,297171,13578
"전국","가죽의복",71,189971,188958,11464
"전국","유아용 의복 및 부속품",72,239947,237412,39607
"전국","기타 봉제의복",22,14908,14782,1182
"전국","모자",95,107448,106859,5294
"전국","섬유 장갑",29,30891,30245,1496
"전국","가죽 장갑",31,31829,31671,2583
"전국","넥타이 및 남자용 목도리",36,113721,111772,12304
"전국","스카프 및 여자용 목도리",37,57367,56790,5329
"전국","벨트(허리띠)",63,46639,45241,6347
"전국","손수건",4,7869,7879,31
"전국","의류 부분품",110,162389,162634,4025
"전국","기타 의복악세서리",41,23578,23323,1379
"전국","천연모피(유연처리 또는 완성가공한 것)",6,10472,10441,370
"전국","천연모피 의복",49,198219,197490,16315
"전국","기타 천연 모피제품",15,28638,28747,539
"전국","인조모피",9,37280,37019,1443
"전국","인조모피 제품",6,23947,24367,4166
"전국","가죽, 가방 및 신발 제조업",1591,4035183,3996133,291512
"전국","소가죽",120,965475,965904,49813
"전국","돼지가죽",13,29891,28452,2799
"전국","면양 또는 산양(염소)의 가죽",8,47144,48351,6230
"전국","기타 동물가죽",6,15420,14731,964
"전국","재생가죽",1,...,...,...
"전국","기타 특수가공가죽",4,9557,9401,395
"전국","서류가방",17,43765,44131,3362
"전국","여행용 가방",16,36644,36576,714
"전국","학생용 가방",35,52364,52360,2166
"전국","등산용 베낭",17,78419,74707,8616
"전국","기타 가방",48,34401,34049,2105
"전국","케이스(가죽 및 섬유제)",78,151905,152776,3983
"전국","핸드백",83,244045,237565,29356
"전국","지갑",61,102530,102073,8236
"전국","산업용 가죽제품",10,18694,17553,1969
"전국","가정용 가죽제품",34,204052,204172,3748
"전국","남자용 구두(단화 포함)",104,435068,425214,45759
"전국","여자용 구두(단화 포함)",285,485477,475489,50752
"전국","아동용 구두(단화 포함)",11,7279,7642,616
"전국","가죽 장화",19,30012,30055,976
"전국","가죽 샌달",48,27263,27126,415
"전국","가죽 등산화 및 운동화",43,243263,238473,26487
"전국","기타 가죽갑피 신발",37,86215,85734,8268
"전국","플라스틱 및 고무제 샌달",5,4184,4179,70
"전국","고무장화",19,34094,34317,1072
"전국","기타 플라스틱 및 고무제 신발",13,17707,17215,928
"전국","직물슬리퍼",16,7507,7552,124
"전국","플라스틱 및 고무 슬리퍼",36,21207,21168,1124
"전국","가죽 슬리퍼",6,3775,3782,29
"전국","직물갑피제 운동화(스포츠전용화 제외)",42,102055,101281,7617
"전국","기타 직물갑피제 신발",4,6538,6466,94
"전국","스포츠화",23,102701,101522,10611
"전국","기타 재료제의 신발",1,...,...,...
"전국","가죽제 신발부분품",29,44995,44920,1698
"전국","플라스틱 및 고무제 신발부분품",268,321199,320335,9457
"전국","기타 재료제의 신발부분품",31,16882,16789,519
"전국","목재 및 나무제품 제조업",2303,4466205,4464786,166326
"전국","소각재",67,146115,146408,3886
"전국","각재",365,627598,626543,22540
"전국","판재",114,75584,75504,2600
"전국","제재부산물",95,33690,33608,545
"전국","마루용 판재",25,121760,121761,8700
"전국","우드몰딩",55,70784,68537,5391
"전국","궤도용 침목",10,12565,12396,1379
"전국","목모와 목분",14,15521,15081,1323
"전국","칩상 또는 삭편상의 목재",36,73575,73380,1010
"전국","기타 표면가공목재",12,10800,10335,1610
"전국","표면처리 및 방부처리목재",42,97272,96965,1820
"전국","단판",23,44345,44043,1064
"전국","일반 합판",64,345135,348774,14077
"전국","가공합판",96,310505,308779,9406
"전국","파티클보드(PB)",19,158536,161607,4662
"전국","MDF(중밀도섬유판)",21,315407,320918,14100
"전국","기타 재생목재",17,135678,134733,8424
"전국","목재의 창문 및 창문틀",59,125331,123937,4563
"전국","목재의 문 및 문틀",183,379786,378164,17556
"전국","목재 패널",45,177407,176403,12954
"전국","목재의 건물 부착물",113,177250,177456,8138
"전국","목재 깔판류 및 기타 적재용 판",262,417612,416423,7941
"전국","목재통 및 관련 부품",33,33471,33584,365
"전국","목재의 포장 및 운반용 상자",235,342862,342097,3754
"전국","목재의 케이블드럼",20,51955,52146,1156
"전국","콜크 및 콜크제품",5,2687,2687,2
"전국","대나무 돗자리",5,4630,4658,138
"전국","볏짚 가공품",6,2678,2804,93
"전국","기타 조물제품",9,3340,3830,525
"전국","목재도구 및 부품",33,18305,18263,227
"전국","주방용 또는 가정용 목제품",57,20336,20298,1851
"전국","목재 그림틀 및 사진틀",36,24524,23968,1173
"전국","기타 장식용 목제품",51,18310,18323,663
"전국","장의용 목관",25,24242,24134,1253
"전국","기타 목제품",51,46609,46239,1437
"전국","펄프, 종이 및 종이제품 제조업",3159,14613449,14592167,602107
"전국","펄프",7,265754,266376,7207
"전국","신문용지",7,994880,995584,35757
"전국","백상지",24,847038,842888,35362
"전국","중질지",7,151708,154433,9922
"전국","박엽지",18,239501,233565,27750
"전국","아트지",17,1242500,1227987,89861
"전국","정보용지",19,226871,231048,18544
"전국","기타 인쇄 및 필기용지",45,268276,265904,9513
"전국","크라프트지",13,122429,127253,7625
"전국","골판지원지",37,1210698,1231319,46237
"전국","기타 판지",11,438767,442346,24422
"전국","적층가공지",62,313316,309534,13105
"전국","포장지",66,334915,330129,19275
"전국","기타 가공지",156,356590,355277,14111
"전국","수제지",30,19979,20671,1701
"전국","위생용지",17,148285,148893,4350
