휴대용전화기,24519636,FALSE,휴대용전화기,27467660,,흑연및탄소제품(비전기용),90214,,ITO코팅유리,64521,,GPS시스템,40726,,KeyPad,924210,,LCD편광필름,4819829,,KeyPad,543239,,LCD용유리,5347515,,LCD용백라이트유니트(BLU),2605979,,K-RESIN,X,,KeyPad,420698,,LCD용백라이트유니트(BLU),1032272,,LCD용유리,2873030,,LCD용유리,2761730
휴대용전등기구,11141,FALSE,휴대용전등기구,4832,,흄관및VR관,195164,,GPS시스템,18193,,Flash메모리(모듈포함),7237248,,K-RESIN,...,,LCD용컬러필터,1147796,,K-RESIN,...,,LCD용백라이트유니트(BLU),2745325,,KeyPad,791395,,GPS시스템,78192,,K-RESIN,X,,KeyPad,293043,,LCD용백라이트유니트(BLU),816992,,LCD용백라이트유니트(BLU),629011
휴대용연료,70504,FALSE,휴대용연료,63669,,휴대용전화기(GSM방식),17830430,,Flash메모리(모듈포함),7968717,,EMC,115805,,ＩＴＯ코팅유리,51441,,LCD용유리,7707266,,ＩＴＯ코팅유리,272397,,KeyPad,865798,,K-RESIN,...,,FPDTV,5286354,,GPS시스템,145413,,K-RESIN,X,,KeyPad,208550,,KeyPad,193890
휴대용시계,180829,FALSE,휴대용시계,162787,,휴대용전화기(CDMA방식),11336061,,EMC,210810,,ECH(에피클로로히드린),...,,GPS시스템,11174,,LCD용백라이트유니트,3550102,,GPS시스템,43382,,K-RESIN,...,,ＩＴＯ코팅유리,89060,,Flash메모리(모듈포함),14950967,,FPDTV,3924348,,GPS시스템,142996,,K-RESIN,X,,K-RESIN,X
휠체어부품,3755,FALSE,휠체어부품,3302,,휴대용전등기구,7062,,ECH(에피클로로히드린),...,,DVR,361312,,Flash메모리(모듈포함),8604928,,KeyPad,556897,,FPDTV,8550240,,ＩＴＯ코팅유리,104840,,GPS시스템,67831,,EMC(에폭시몰딩컴파운드),342889,,Flash메모리(모듈포함),19390115,,FPDTV,3987642,,GPS시스템,188525,,GPS시스템,164851
휠체어(신체장애자용),8402,FALSE,휠체어(신체장애자용),10525,,휴대용저장장치,249235,,DVR,245051,,DVD드라이브,...,,EMC,142479,,K-RESIN,...,,Flash메모리(모듈포함),6380234,,GPS시스템,53420,,FPDTV,8565634,,ECH(에피클로로히드린),X,,EMC(에폭시몰딩컴파운드),208388,,Flash메모리(모듈포함),13326641,,FPDTV,3760976,,FPDTV,4553367
휘발유,3527869,FALSE,휘발유,4525691,,휴대용연료,104126,,DVD드라이브,...,,DRAM,10357096,,ECH(에피클로로히드린),...,,ＩＴＯ코팅유리,178645,,EMC(에폭시몰딩컴파운드),...,,FPDTV,8622538,,Flash메모리(모듈포함),7690687,,DVR,196653,,ECH(에피클로로히드린),X,,EMC(에폭시몰딩컴파운드),147804,,Flash메모리(모듈포함),12158353,,Flash메모리(모듈포함),15088342
후추가루,15671,FALSE,후추가루,28437,,휴대용시계,124188,,DRAM,12358674,,DMF(디메틸포름아미드),...,,DVR,376367,,GPS시스템,41608,,ECH(에피클로로히드린),...,,Flash메모리(모듈포함),7433435,,EMC(에폭시몰딩컴파운드),197698,,DRAM,36420630,,DVR,174505,,ECH(에피클로로히드린),X,,EMC(에폭시몰딩컴파운드),236646,,EMC(에폭시몰딩컴파운드),237974
효모,27135,FALSE,효모,31494,,휠체어부품,2842,,DMF(디메틸포름아미드),...,,DMB송수신기기,12164,,DVD드라이브,...,,Flash메모리(모듈포함),6041218,,DVR,408597,,EMC(에폭시몰딩컴파운드),223635,,ECH(에피클로로히드린),...,,DMB송수신기기,25236,,DRAM,66270122,,DVR,204755,,ECH(에피클로로히드린),X,,ECH(에피클로로히드린),X
회주물(보통주철),835128,FALSE,회주물(보통주철),1168492,,휠체어(신체장애자용),23420,,DMB송수신기기,14618,,DDI,62190,,DRAM,13291434,,EMC(에폭시몰딩컴파운드),...,,DRAM,25133997,,ECH(에피클로로히드린),...,,DVR,276135,,DDI,1875073,,DMB송수신기기,26997,,DRAM,87731226,,DVR,128414,,DVR,221855
