도정부산물,14113,22847,34395,22579,17778,9787,12634,32659,57028,27944,39658,52136,90845,70667,55685
밀가루,688886,822302,707793,671131,1004574,1330234,1200325,1320209,1429860,1309319,1244534,1102146,996200,1170016,1346227
콩가루,10112,3427,1948,1756,1483,3486,2698,4163,5685,9707,4099,3007,2417,4620,7809
옥수수가루,,,,8015,11455,18081,45599,62543,117426,99157,81637,80837,78379,74911,104686
기타곡물가루,97154,92180,98428,65771,65122,107327,118529,123272,127919,119381,136899,146743,149341,165069,181960
소맥피,27086,,,48111,19053,...,...,...,...,...,20295,21950,29842,X,12929
제분부산물,,30661,87945,...,...,...,...,...,3187,4775,12593,12191,33987,X,43537
곡물혼합분말및반죽,,,,,,,,,,,642748,813984,857359,881493,1026541
선식류,,69231,116331,106328,114374,109105,99702,119867,106974,100508,56505,90777,139468,203711,197208
앙금류,,48626,48028,49878,60982,60137,99792,135330,114387,132136,106261,99650,109765,115195,125453
씨리얼식품,...,...,...,...,107252,157072,159667,163882,148647,133082,227553,217282,238858,242768,288189
기타곡물조제식품,64940,67831,82095,68086,21613,50236,57477,62957,72592,83025,149854,142384,114447,137966,197593
고구마전분,,,,6599,7061,10763,8699,9964,7225,6416,15953,17871,13911,24611,31221
옥수수전분,,,,228893,152906,171260,219483,254352,269371,337993,288038,305660,283928,258615,326885
소맥전분,,,,49044,56785,69783,...,...,62067,60546,X,X,X,,X
기타전분제품,3874,27121,5800,21260,24454,71881,149728,215967,152943,214204,143914,90895,34396,191855,78593
포도당,,36269,38070,43165,46551,43201,83031,81810,53559,53608,52438,50584,44400,67605,59551
물엿,200667,276036,243453,173589,269344,273348,296417,364452,409053,400251,406232,395805,451751,359453,383248
과당,,197132,202656,221325,176363,201278,239675,257679,252073,248804,378491,365077,295344,252492,325966
기타당류,61396,62308,61393,35982,34177,54684,91424,83192,93346,60386,74961,68874,88320,80531,140310
떡(제조도매),,100663,125427,114077,166405,190995,235716,246508,263192,302978,319483,340974,386174,419552,557227
떡(제조소매),,23860,51119,42896,30021,35120,38623,32730,32280,27004,35312,49201,50245,55453,82237
식빵(제조도매),,,,275381,235294,248809,576919,680659,824416,691481,437325,439792,661615,835086,764750
도넛(제조도매),,,,88264,61020,83196,120408,41790,69677,76156,51858,86713,128613,163428,216743
피자(제조도매),,,,,1470,...,16994,19808,25275,31681,18023,16902,15095,12736,23496
기타빵류(제조도매),,,,590529,682365,895414,1257316,1207865,995145,953466,1230031,1273805,1021977,1507427,1400869
케이크(제조도매),,249215,213838,240318,302659,234099,408139,345383,363479,510353,587322,675479,822174,800707,1275781
코코아분말,45579,37016,47424,11246,75437,26428,39652,26881,21731,35815,62138,53505,50313,17315,19888
초콜릿류,,583252,632424,691203,649139,605048,909761,938971,926706,865197,1027566,1006584,767759,768661,838860
캔디류,,390838,225685,277863,422703,396294,440309,379943,352859,362161,275690,355458,362369,374600,361533
껌,376915,351642,211876,312917,302883,125225,304475,302489,237354,247873,251006,224824,185808,206462,67856
미과,89159,79907,74401,73081,74716,67520,59351,56359,61565,66960,81829,78107,83528,130988,104430
스낵류,,,,935683,1049314,965342,843773,844046,868598,868590,1199318,1171104,1168839,1103758,1465480
건과자류,,,,99585,205503,238437,318257,336380,425022,522474,705894,636292,725302,596557,676633
기타곡분과자,,,,70520,21457,212610,272651,298162,217667,213805,108515,115548,123795,125411,124207
원당,...,,,,...,,,,,,X,X,X,X,X
정제당,644027,659071,767588,709915,774773,1014120,923262,1121541,1189789,1034289,1094901,920706,1098584,1090859,1569412
국수,132090,159796,163817,145688,202087,238257,168108,205760,234768,263725,291974,292204,308830,306377,381196
당면,48336,49988,77492,33488,42957,111358,109088,49066,48762,54028,60022,52725,57668,59818,73688
냉면,56409,54877,68300,75586,63009,60499,81045,81955,126240,151648,131066,140971,205041,235778,185015
기타유사국수,19779,25192,14554,14617,16720,20661,86920,59407,71084,77848,99194,65130,56762,45034,29681
라면,1147121,1247577,1123850,1093976,1423966,1193843,1575487,1689874,1732769,1771412,2201187,2253618,2054333,2342479,2592182
기타인스턴트면류,41159,37629,25330,39960,67488,111183,69736,104898,139778,91232,102029,53043,54001,66000,100857
기타화학조미료,,,,138986,76266,51869,169470,132738,154819,114833,106494,120758,127059,161436,172049
식초,,43237,62238,69041,63323,67191,100933,172033,119479,127733,133711,109715,240968,143688,151265
맛소금,4059,3262,1179,3158,26774,12781,14327,14975,14797,...,X,X,X,X,X
고추가루,116818,153475,143982,202341,218890,137614,195282,219087,150423,198954,216252,242212,268070,309333,425241
